Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
;A3281;VASE OVAL HOLE GLASS 9X4CM;1;7;7;80;80
;A3335;ΜΩΛΟΣ WOOD;1;6;6;36;36
;A3376B;CANDLE HOLDER METAL BLACK;2;7;14;22;44
;A3418;KORNIZA PH20X25 SILVER METAL 30X38X2CM;1;9;9;28;28
P5;A3428;P5 VASE GLASS HURRICANE CLEAR H25;2;3;6;47;94
;A3434;BOX PINEC & BRANCHES NATUREL BROWN 15X15X1;4;4;15;12;48
;A3456;AMARYLLIS BLACK/BROWN;5;4;18;14;70
;A3473;FRAME HORSE;1;5;5;22;22
;A3498;KNIFE AFRICA;-6;1;-8;5;-30
P1;A3524.2TU;P1 RESTING RABBIT TURQUOISE 15x20;5;9;43;26;130
P1;A3576;P1 PAPERWEIGHT LS ZEBRA F9x4;1;8;8;28;28
P1;A3586;P1 CANDLE HOLDER COCONUT GOLDEN F15x8;1;4;4;12;12
P6;A3599;P6 CLOCK LOFT GLASS 37x6;1;9;9;22;22
P6;A3610;P6 BASKET SQUARE BIG 20x20 SWEET HOME;1;3;3;8;8
